size,subset,tune_f1,tune_calls,eval_f1,eval_calls,eval_em,diff_f1_vs_k3,diff_calls_vs_k3,f1_per_call,f1_minus_05calls
6,answer_stable+answer_stable_f1+answer_stable_seq+answer_in_evidence+calibrated_conf+top_score_z_intra,49.080519480519484,1.3,47.68395955895956,1.3266666666666667,37.666666666666664,-10.68456728456728,-1.6733333333333333,35.94268308464288,47.02062622562622
3,answer_stable_seq+answer_in_evidence+top_score_z_intra,49.080519480519484,1.3,47.68395955895956,1.34,37.666666666666664,-10.68456728456728,-1.66,35.58504444698474,47.013959558959556
4,answer_stable+answer_stable_seq+answer_in_evidence+top_score_z_intra,49.080519480519484,1.3,47.68395955895956,1.34,37.666666666666664,-10.68456728456728,-1.66,35.58504444698474,47.013959558959556
4,answer_stable_f1+answer_stable_seq+answer_in_evidence+top_score_z_intra,49.080519480519484,1.3,47.68395955895956,1.34,37.666666666666664,-10.68456728456728,-1.66,35.58504444698474,47.013959558959556
5,answer_stable+answer_stable_f1+answer_stable_seq+answer_in_evidence+top_score_z_intra,49.080519480519484,1.3,47.68395955895956,1.34,37.666666666666664,-10.68456728456728,-1.66,35.58504444698474,47.013959558959556
3,answer_stable_f1+top_score_z_intra+gap,48.830519480519484,1.55,47.59268971768972,1.46,38.0,-10.775837125837114,-1.54,32.59773268334913,46.862689717689726
4,answer_stable+answer_stable_f1+top_score_z_intra+gap,48.830519480519484,1.55,47.59268971768972,1.46,38.0,-10.775837125837114,-1.54,32.59773268334913,46.862689717689726
3,calibrated_conf+overlap_signal+gap,48.830519480519484,1.54,47.461737336737336,1.4766666666666666,38.0,-10.9067895067895,-1.5233333333333334,32.14113137928037,46.723404003404
3,answer_stable+calibrated_conf+gap,48.830519480519484,1.49,47.378404003404,1.3966666666666667,38.0,-10.990122840122837,-1.6033333333333333,33.92248496663771,46.68007067007067
5,answer_stable_seq+answer_in_evidence+calibrated_conf+overlap_signal+top_score_z_intra,49.080519480519484,1.3,47.35062622562623,1.2966666666666666,37.333333333333336,-11.017900617900608,-1.7033333333333334,36.51719246192254,46.702292892292895
6,answer_stable+answer_stable_seq+answer_in_evidence+calibrated_conf+overlap_signal+top_score_z_intra,49.080519480519484,1.3,47.35062622562623,1.2966666666666666,37.333333333333336,-11.017900617900608,-1.7033333333333334,36.51719246192254,46.702292892292895
6,answer_stable_f1+answer_stable_seq+answer_in_evidence+calibrated_conf+overlap_signal+top_score_z_intra,49.080519480519484,1.3,47.35062622562623,1.2966666666666666,37.333333333333336,-11.017900617900608,-1.7033333333333334,36.51719246192254,46.702292892292895
7,answer_stable+answer_stable_f1+answer_stable_seq+answer_in_evidence+calibrated_conf+overlap_signal+top_score_z_intra,49.080519480519484,1.3,47.35062622562623,1.2966666666666666,37.333333333333336,-11.017900617900608,-1.7033333333333334,36.51719246192254,46.702292892292895
4,answer_stable_seq+answer_in_evidence+overlap_signal+top_score_z_intra,49.080519480519484,1.3,47.35062622562623,1.3,37.333333333333336,-11.017900617900608,-1.7,36.423558635097095,46.70062622562623
5,answer_stable+answer_stable_seq+answer_in_evidence+overlap_signal+top_score_z_intra,49.080519480519484,1.3,47.35062622562623,1.3,37.333333333333336,-11.017900617900608,-1.7,36.423558635097095,46.70062622562623
